1000,1200,1705,Door,"presence of 1 maggot or cockroach/ with accumulated dust, dirt & cobwebs","with small dirt, dust and cobweb",clean (no dirt),damage / 2nd offense,1st offense,in good condition
1000,1200,1705,Ceiling,"with accumulated dust, dirt and cobwebs","with small dirt, dust and cobweb",clean (no dirt),damage / rusty/ with leak/ 2nd offense,1st offense,in good condition
1000,1200,1705,Light fixtures,"with accumulated dust, dirt & cobwebs ","with small dirt, dust and cobweb",clean (no dirt),damage light diffuser/ 1 or more busted light/ 2nd offense,1st offense,no busted light/ complete
1000,1200,1705,Wall,"presence of 1 maggot or cockroach/ with accumulated dust, dirt & cobwebs ","with small dirt, dust and cobweb",clean (no dirt),damage/ peeling of paint/ 2nd offense,1st offense,no peeling of paint or damage
1000,1200,1705,Floor,"presence of 1 maggot or cockroach/ with accumulated dust, dirt & cobwebs ","with small dirt, dust and cobweb",clean (no dirt),damage/ peeling of paint/ 2nd offense,1st offense,in good condition
1000,1200,1705,Changing Room,"presence of 1 maggot or cockroach/ with accumulated dust, dirt & cobwebs ","with small dirt, dust and cobweb",clean (no dirt)/ no off odor,damage / 2nd offense,1st offense,in good condition
1000,1200,1705,Bench,"presence of 1 maggot or cockroach/ with accumulated dust, dirt & cobwebs ","with small dirt, dust and cobweb",clean (no dirt),damage / 2nd offense,1st offense,in good condition
1000,1200,1705,Lockers,"presence of 6 or more meatbits or insects (dead or alive)/ presence of 1 maggot or cockroach/ with accumulated dirt, dust and cobweb/ with slime formation/ unorganized","presence of 1-5 meat bits or insects (dead or alive/ with small dirt, dust and cobweb/ a bit slime formation ",clean (no dirt),damage / 2nd offense,1st offense,in good condition
1001,1201,1706,Door,"presence of 6 or more meat bits or insects (dead or alive) / with 1 maggots or cockroach/ with accumulated dust,cobwebs ",presence of 1-5 meat bits or insects (dead or alive) /with small dirt and a bit slime formation ,clean (no dirt),damage / 2nd offense,1st offense,in good condition
1001,1201,1706,Plastic curtain,presence of 6 or more meatbits or insects (dead or alive)/ with 1 maggot or cockroach/with accumulated dirt/ with slime formation/with retained soap and soap marks,presence of 1-5 meat bits or insects (dead or alive) / with small dirt and a bit slime formation ,clean (no dirt),damage/ incomplete number of plastic curtain/ 2nd offense,1st offense,complete / no damage
1001,1201,1706,Ceiling,"presence of 6 or more meatbits/ with accumulated dirt, cobwebs/ with slime formation","presence of 1-5 meat bits/with small dirt, cobweb and a bit slime formation ",clean (no dirt),damage / rusty/ with leak/ 2nd offense,1st offense,in good condition
1001,1201,1706,Light fixtures,"presence of 6 or more meat bits or insects (dead or alive) / with accumulated dust,dirt ,cobwebs ",presence of 1-5 meat bits or insects (dead or alive)/ with small dirt  ,clean (no dirt),damage light diffuser/ 1 or more busted light/ 2nd offense,1st offense,no busted light/ complete
1001,1201,1706,Electric Fan,presence of 6 or more meatbits/ with accumulated dirt and dust,presence of 1-5 meat bits/with small dirt ,clean (no dirt),defective or 2nd offense,1st offense,functional
1001,1201,1706,Window,"presence of 6 or more meat bits or insects (dead or alive) / with 1 maggots or cockroach/ with accumulated dust,cobwebs ",presence of 1-5 meat bits or insects (dead or alive) /with small dirt and a bit slime formation ,clean (no dirt),n/a,n/a,n/a
1001,1201,1706,Wall,presence of 6 or more meatbits or insects (dead or alive)/ presence of 1 maggot or cockroach/ with accumulated dirt/ with slime formation,presence of 1-5 meat bits or insects (dead or alive/ with small dirt and a bit slime formation ,clean (no dirt),damage/ peeling of paint/ 2nd offense,1st offense,no peeling of paint or damage
1001,1201,1706,Floor,presence of 6 or more meatbits or insects (dead or alive)/ presence of 1 maggot or cockroach/ with accumulated dirt/ with slime formation,presence of 1-5 meat bits or insects (dead or alive/ with small dirt and a bit slime formation ,clean (no dirt),damage/ peeling of paint/ 2nd offense,1st offense,no peeling of paint or damage
1001,1201,1706,Steel Cabinet,presence of 6 or more meatbits or insects (dead or alive)/ presence of 1 maggot or cockroach/ with accumulated dirt/ with slime formation,presence of 1-5 meat bits or insects (dead or alive/ with small dirt and a bit slime formation ,clean (no dirt),damage/ peeling of paint/ 2nd offense,1st offense,no peeling of paint or damage
1001,1201,1706,Packaging Storage Boxes,3 boxes with presence of 6 or more meatbits or insects (dead or alive)/ presence of 1 maggot or cockroach/ with accumulated dirt/ with slime formation,1 -2 boxes with presence of 1-5 meat bits or insects (dead or alive/ with small dirt and a bit slime formation ,clean (no dirt),damage/ peeling of paint/ 2nd offense,1st offense,no peeling of paint or damage
1001,1201,1706,Stainless Rack,presence of 6 or more meatbits or insects (dead or alive)/ presence of 1 maggot or cockroach/ with accumulated dirt/ with slime formation,presence of 1-5 meat bits or insects (dead or alive/ with small dirt and a bit slime formation ,clean (no dirt),damage/ peeling of paint/ 2nd offense,1st offense,no peeling of paint or damage
1001,1201,1706,Table,presence of 6 or more meatbits or insects (dead or alive)/ presence of 1 maggot or cockroach/ with accumulated dirt/ with slime formation,presence of 1-5 meat bits or insects (dead or alive/ with small dirt and a bit slime formation ,clean (no dirt),damage/ peeling of paint/ 2nd offense,1st offense,no peeling of paint or damage
1001,1201,1707,Door,"presence of 1 maggot or cockroach/ with accumulated dust, dirt & cobwebs","with small dirt, dust and cobweb",clean (no dirt),damage / 2nd offense,1st offense,in good condition
1001,1201,1707,Ceiling,"with accumulated dust, dirt and cobwebs","with small dirt, dust and cobweb",clean (no dirt),damage / rusty/ with leak/ 2nd offense,1st offense,in good condition
1001,1201,1707,Light fixtures,"with accumulated dust, dirt & cobwebs ","with small dirt, dust and cobweb",clean (no dirt),damage light diffuser/ 1 or more busted light/ 2nd offense,1st offense,no busted light/ complete
1001,1201,1707,Wall,"presence of 1 maggot or cockroach/ with accumulated dust, dirt & cobwebs ","with small dirt, dust and cobweb",clean (no dirt),damage/ peeling of paint/ 2nd offense,1st offense,no peeling of paint or damage
1001,1201,1707,Floor,"presence of 1 maggot or cockroach/ with accumulated dust, dirt & cobwebs ","with small dirt, dust and cobweb",clean (no dirt),damage/ peeling of paint/ 2nd offense,1st offense,in good condition
1001,1201,1707,Changing Room,"presence of 1 maggot or cockroach/ with accumulated dust, dirt & cobwebs ","with small dirt, dust and cobweb",clean (no dirt)/ no off odor,damage / 2nd offense,1st offense,in good condition
1001,1201,1707,Bench,"presence of 1 maggot or cockroach/ with accumulated dust, dirt & cobwebs ","with small dirt, dust and cobweb",clean (no dirt),damage / 2nd offense,1st offense,in good condition
1001,1201,1707,Lockers,"presence of 6 or more meatbits or insects (dead or alive)/ presence of 1 maggot or cockroach/ with accumulated dirt, dust and cobweb/ with slime formation/ unorganized","presence of 1-5 meat bits or insects (dead or alive/ with small dirt, dust and cobweb/ a bit slime formation ",clean (no dirt),damage / 2nd offense,1st offense,in good condition
1001,1202,1708,Door,"presence of 6 or more meat bits or insects (dead or alive) / with 1 maggots or cockroach/ with accumulated dust,cobwebs ",presence of 1-5 meat bits or insects (dead or alive) /with small dirt and a bit slime formation ,clean (no dirt),damage / 2nd offense,1st offense,in good condition
1001,1202,1708,Plastic curtain,presence of 6 or more meatbits or insects (dead or alive)/ with 1 maggot or cockroach/with accumulated dirt/ with slime formation/with retained soap and soap marks,presence of 1-5 meat bits or insects (dead or alive) / with small dirt and a bit slime formation ,clean (no dirt),damage/ incomplete number of plastic curtain/ 2nd offense,1st offense,complete / no damage
1001,1202,1708,Ceiling,"presence of 6 or more meatbits/ with accumulated dirt, cobwebs/ with slime formation","presence of 1-5 meat bits/with small dirt, cobweb and a bit slime formation ",clean (no dirt),damage / rusty/ with leak/ 2nd offense,1st offense,in good condition
1001,1202,1708,Light fixtures,"presence of 6 or more meat bits or insects (dead or alive) / with accumulated dust,dirt ,cobwebs ",presence of 1-5 meat bits or insects (dead or alive)/ with small dirt  ,clean (no dirt),damage light diffuser/ 1 or more busted light/ 2nd offense,1st offense,no busted light/ complete
1001,1202,1708,Electric Fan,presence of 6 or more meatbits/ with accumulated dirt and dust,presence of 1-5 meat bits/with small dirt ,clean (no dirt),defective or 2nd offense,1st offense,functional
1001,1202,1708,Window,"presence of 6 or more meat bits or insects (dead or alive) / with 1 maggots or cockroach/ with accumulated dust,cobwebs ",presence of 1-5 meat bits or insects (dead or alive) /with small dirt and a bit slime formation ,clean (no dirt),n/a,n/a,n/a
1001,1202,1708,Wall,presence of 6 or more meatbits or insects (dead or alive)/ presence of 1 maggot or cockroach/ with accumulated dirt/ with slime formation,presence of 1-5 meat bits or insects (dead or alive/ with small dirt and a bit slime formation ,clean (no dirt),damage/ peeling of paint/ 2nd offense,1st offense,no peeling of paint or damage
1001,1202,1708,Floor,presence of 6 or more meatbits or insects (dead or alive)/ presence of 1 maggot or cockroach/ with accumulated dirt/ with slime formation,presence of 1-5 meat bits or insects (dead or alive/ with small dirt and a bit slime formation ,clean (no dirt),damage/ peeling of paint/ 2nd offense,1st offense,no peeling of paint or damage
1001,1202,1708,Steel Cabinet,presence of 6 or more meatbits or insects (dead or alive)/ presence of 1 maggot or cockroach/ with accumulated dirt/ with slime formation,presence of 1-5 meat bits or insects (dead or alive/ with small dirt and a bit slime formation ,clean (no dirt),damage/ peeling of paint/ 2nd offense,1st offense,no peeling of paint or damage
1001,1202,1708,Packaging Storage Boxes,3 boxes with presence of 6 or more meatbits or insects (dead or alive)/ presence of 1 maggot or cockroach/ with accumulated dirt/ with slime formation,1 -2 boxes with presence of 1-5 meat bits or insects (dead or alive/ with small dirt and a bit slime formation ,clean (no dirt),damage/ peeling of paint/ 2nd offense,1st offense,no peeling of paint or damage
1001,1202,1708,Stainless Rack,presence of 6 or more meatbits or insects (dead or alive)/ presence of 1 maggot or cockroach/ with accumulated dirt/ with slime formation,presence of 1-5 meat bits or insects (dead or alive/ with small dirt and a bit slime formation ,clean (no dirt),damage/ peeling of paint/ 2nd offense,1st offense,no peeling of paint or damage
1001,1202,1708,Table,presence of 6 or more meatbits or insects (dead or alive)/ presence of 1 maggot or cockroach/ with accumulated dirt/ with slime formation,presence of 1-5 meat bits or insects (dead or alive/ with small dirt and a bit slime formation ,clean (no dirt),damage/ peeling of paint/ 2nd offense,1st offense,no peeling of paint or damage
1001,1202,1709,Door,"presence of 1 maggot or cockroach/ with accumulated dust, dirt & cobwebs","with small dirt, dust and cobweb",clean (no dirt),damage / 2nd offense,1st offense,in good condition
1001,1202,1709,Ceiling,"with accumulated dust, dirt and cobwebs","with small dirt, dust and cobweb",clean (no dirt),damage / rusty/ with leak/ 2nd offense,1st offense,in good condition
1001,1202,1709,Light fixtures,"with accumulated dust, dirt & cobwebs ","with small dirt, dust and cobweb",clean (no dirt),damage light diffuser/ 1 or more busted light/ 2nd offense,1st offense,no busted light/ complete
1001,1202,1709,Wall,"presence of 1 maggot or cockroach/ with accumulated dust, dirt & cobwebs ","with small dirt, dust and cobweb",clean (no dirt),damage/ peeling of paint/ 2nd offense,1st offense,no peeling of paint or damage
1001,1202,1709,Floor,"presence of 1 maggot or cockroach/ with accumulated dust, dirt & cobwebs ","with small dirt, dust and cobweb",clean (no dirt),damage/ peeling of paint/ 2nd offense,1st offense,in good condition
1001,1202,1709,Changing Room,"presence of 1 maggot or cockroach/ with accumulated dust, dirt & cobwebs ","with small dirt, dust and cobweb",clean (no dirt)/ no off odor,damage / 2nd offense,1st offense,in good condition
1001,1202,1709,Bench,"presence of 1 maggot or cockroach/ with accumulated dust, dirt & cobwebs ","with small dirt, dust and cobweb",clean (no dirt),damage / 2nd offense,1st offense,in good condition
1001,1202,1709,Lockers,"presence of 6 or more meatbits or insects (dead or alive)/ presence of 1 maggot or cockroach/ with accumulated dirt, dust and cobweb/ with slime formation/ unorganized","presence of 1-5 meat bits or insects (dead or alive/ with small dirt, dust and cobweb/ a bit slime formation ",clean (no dirt),damage / 2nd offense,1st offense,in good condition
1001,1204,1710,Door,"presence of 1 maggot or cockroach/ with accumulated dust, dirt & cobwebs","with small dirt, dust and cobweb",clean (no dirt),damage / 2nd offense,1st offense,in good condition
1001,1204,1710,Ceiling,"with accumulated dust, dirt and cobwebs","with small dirt, dust and cobweb",clean (no dirt),damage / rusty/ with leak/ 2nd offense,1st offense,in good condition
1001,1204,1710,Light fixtures,"with accumulated dust, dirt & cobwebs ","with small dirt, dust and cobweb",clean (no dirt),damage light diffuser/ 1 or more busted light/ 2nd offense,1st offense,no busted light/ complete
1001,1204,1710,Wall,"presence of 1 maggot or cockroach/ with accumulated dust, dirt & cobwebs ","with small dirt, dust and cobweb",clean (no dirt),damage/ peeling of paint/ 2nd offense,1st offense,no peeling of paint or damage
1001,1204,1710,Floor,"presence of 1 maggot or cockroach/ with accumulated dust, dirt & cobwebs ","with small dirt, dust and cobweb",clean (no dirt),damage/ peeling of paint/ 2nd offense,1st offense,in good condition
1001,1204,1710,Changing Room,"presence of 1 maggot or cockroach/ with accumulated dust, dirt & cobwebs ","with small dirt, dust and cobweb",clean (no dirt)/ no off odor,damage / 2nd offense,1st offense,in good condition
1001,1204,1710,Bench,"presence of 1 maggot or cockroach/ with accumulated dust, dirt & cobwebs ","with small dirt, dust and cobweb",clean (no dirt),damage / 2nd offense,1st offense,in good condition
1001,1204,1710,Lockers,"presence of 6 or more meatbits or insects (dead or alive)/ presence of 1 maggot or cockroach/ with accumulated dirt, dust and cobweb/ with slime formation/ unorganized","presence of 1-5 meat bits or insects (dead or alive/ with small dirt, dust and cobweb/ a bit slime formation ",clean (no dirt),damage / 2nd offense,1st offense,in good condition
1001,1203,1711,Door,"presence of 1 maggot or cockroach/ with accumulated dust, dirt & cobwebs","with small dirt, dust and cobweb",clean (no dirt),damage / 2nd offense,1st offense,in good condition
1001,1203,1711,Ceiling,"with accumulated dust, dirt and cobwebs","with small dirt, dust and cobweb",clean (no dirt),damage / rusty/ with leak/ 2nd offense,1st offense,in good condition
1001,1203,1711,Light fixtures,"with accumulated dust, dirt & cobwebs ","with small dirt, dust and cobweb",clean (no dirt),damage light diffuser/ 1 or more busted light/ 2nd offense,1st offense,no busted light/ complete
1001,1203,1711,Wall,"presence of 1 maggot or cockroach/ with accumulated dust, dirt & cobwebs ","with small dirt, dust and cobweb",clean (no dirt),damage/ peeling of paint/ 2nd offense,1st offense,no peeling of paint or damage
1001,1203,1711,Floor,"presence of 1 maggot or cockroach/ with accumulated dust, dirt & cobwebs ","with small dirt, dust and cobweb",clean (no dirt),damage/ peeling of paint/ 2nd offense,1st offense,in good condition
1001,1203,1711,Changing Room,"presence of 1 maggot or cockroach/ with accumulated dust, dirt & cobwebs ","with small dirt, dust and cobweb",clean (no dirt)/ no off odor,damage / 2nd offense,1st offense,in good condition
1001,1203,1711,Bench,"presence of 1 maggot or cockroach/ with accumulated dust, dirt & cobwebs ","with small dirt, dust and cobweb",clean (no dirt),damage / 2nd offense,1st offense,in good condition
1001,1203,1711,Lockers,"presence of 6 or more meatbits or insects (dead or alive)/ presence of 1 maggot or cockroach/ with accumulated dirt, dust and cobweb/ with slime formation/ unorganized","presence of 1-5 meat bits or insects (dead or alive/ with small dirt, dust and cobweb/ a bit slime formation ",clean (no dirt),damage / 2nd offense,1st offense,in good condition
1002,1206,1712,Door,"presence of 1 maggot or cockroach/ with accumulated dust, dirt & cobwebs","with small dirt, dust and cobweb",clean (no dirt),damage / 2nd offense,1st offense,in good condition
1002,1206,1712,Ceiling,"with accumulated dust, dirt and cobwebs","with small dirt, dust and cobweb",clean (no dirt),damage / rusty/ with leak/ 2nd offense,1st offense,in good condition
1002,1206,1712,Light fixtures,"with accumulated dust, dirt & cobwebs ","with small dirt, dust and cobweb",clean (no dirt),damage light diffuser/ 1 or more busted light/ 2nd offense,1st offense,no busted light/ complete
1002,1206,1712,Wall,"presence of 1 maggot or cockroach/ with accumulated dust, dirt & cobwebs ","with small dirt, dust and cobweb",clean (no dirt),damage/ peeling of paint/ 2nd offense,1st offense,no peeling of paint or damage
1002,1206,1712,Floor,"presence of 1 maggot or cockroach/ with accumulated dust, dirt & cobwebs ","with small dirt, dust and cobweb",clean (no dirt),damage/ peeling of paint/ 2nd offense,1st offense,in good condition
1002,1206,1712,Changing Room,"presence of 1 maggot or cockroach/ with accumulated dust, dirt & cobwebs ","with small dirt, dust and cobweb",clean (no dirt)/ no off odor,damage / 2nd offense,1st offense,in good condition
1002,1206,1712,Bench,"presence of 1 maggot or cockroach/ with accumulated dust, dirt & cobwebs ","with small dirt, dust and cobweb",clean (no dirt),damage / 2nd offense,1st offense,in good condition
1002,1206,1712,Lockers,"presence of 6 or more meatbits or insects (dead or alive)/ presence of 1 maggot or cockroach/ with accumulated dirt, dust and cobweb/ with slime formation/ unorganized","presence of 1-5 meat bits or insects (dead or alive/ with small dirt, dust and cobweb/ a bit slime formation ",clean (no dirt),damage / 2nd offense,1st offense,in good condition
1002,1207,1713,Door,"presence of 1 maggot or cockroach/ with accumulated dust, dirt & cobwebs","with small dirt, dust and cobweb",clean (no dirt),damage / 2nd offense,1st offense,in good condition
1002,1207,1713,Ceiling,"with accumulated dust, dirt and cobwebs","with small dirt, dust and cobweb",clean (no dirt),damage / rusty/ with leak/ 2nd offense,1st offense,in good condition
1002,1207,1713,Light fixtures,"with accumulated dust, dirt & cobwebs ","with small dirt, dust and cobweb",clean (no dirt),damage light diffuser/ 1 or more busted light/ 2nd offense,1st offense,no busted light/ complete
1002,1207,1713,Wall,"presence of 1 maggot or cockroach/ with accumulated dust, dirt & cobwebs ","with small dirt, dust and cobweb",clean (no dirt),damage/ peeling of paint/ 2nd offense,1st offense,no peeling of paint or damage
1002,1207,1713,Floor,"presence of 1 maggot or cockroach/ with accumulated dust, dirt & cobwebs ","with small dirt, dust and cobweb",clean (no dirt),damage/ peeling of paint/ 2nd offense,1st offense,in good condition
1002,1207,1713,Changing Room,"presence of 1 maggot or cockroach/ with accumulated dust, dirt & cobwebs ","with small dirt, dust and cobweb",clean (no dirt)/ no off odor,damage / 2nd offense,1st offense,in good condition
1002,1207,1713,Bench,"presence of 1 maggot or cockroach/ with accumulated dust, dirt & cobwebs ","with small dirt, dust and cobweb",clean (no dirt),damage / 2nd offense,1st offense,in good condition
1002,1207,1713,Lockers,"presence of 6 or more meatbits or insects (dead or alive)/ presence of 1 maggot or cockroach/ with accumulated dirt, dust and cobweb/ with slime formation/ unorganized","presence of 1-5 meat bits or insects (dead or alive/ with small dirt, dust and cobweb/ a bit slime formation ",clean (no dirt),damage / 2nd offense,1st offense,in good condition
1002,1208,1714,Door,"presence of 1 maggot or cockroach/ with accumulated dust, dirt & cobwebs","with small dirt, dust and cobweb",clean (no dirt),damage / 2nd offense,1st offense,in good condition
1002,1208,1714,Ceiling,"with accumulated dust, dirt and cobwebs","with small dirt, dust and cobweb",clean (no dirt),damage / rusty/ with leak/ 2nd offense,1st offense,in good condition
1002,1208,1714,Light fixtures,"with accumulated dust, dirt & cobwebs ","with small dirt, dust and cobweb",clean (no dirt),damage light diffuser/ 1 or more busted light/ 2nd offense,1st offense,no busted light/ complete
